origin,destination,intermediate,distance,duration,static_duration,polyline,request_time
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,706s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T21:11:53Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,657s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T21:11:54Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,612s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T21:11:53Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,834s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:11:54Z
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,705s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:11:54Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,686s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:11:54Z
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,337s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T21:11:54Z
Eastwood_at_Winnebago,Wilson_at_Willy,Willy_at_Ingersoll,2266,369s,336s,ux~eGdtk`PxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xG,2025-09-21T21:11:54Z
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,731s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T21:32:12Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,682s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T21:32:12Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,623s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T21:32:12Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,838s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:32:12Z
E_Wash_at_Milwaukee,JND_at_North_Shore,E_Wash_at_First,5709,681s,696s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC`JvG}@nAsD|FuBdDa@NUb@pEjHxDxFdEvGrClEvJrO|g@fy@dInMtLcQFGt@W\Cf@J\TdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:32:12Z
E_Wash_at_Milwaukee,JND_at_North_Shore,Willy_at_Ingersoll,5259,690s,690s,w_afGd|i`Pl@wBDm@B}@zCLTLxFpITn@Hn@GJC\KXOFIVDRPHFAp@~@~@~@hBxAt@f@HArFbEjEzCpF`EnDfC|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T21:32:12Z
Wilson_at_Willy,Eastwood_at_Winnebago,Willy_at_Ingersoll,2289,358s,316s,ai|eGreo`PXG_AiHSq@mDeGk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuC,2025-09-21T21:32:12Z
Eastwood_at_Winnebago,Wilson_at_Willy,Willy_at_Ingersoll,2266,377s,336s,ux~eGdtk`PxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xG,2025-09-21T21:32:12Z
JND_at_North_Shore,Olbrich_boat_launch,Willy_at_Ingersoll,6055,698s,695s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpDsFiJcM}Rs@iAoB}BiI_JyDuCSg@i@u@q@oAiCgGkBmEcBsDqEkKsBuEk@eBWyAiAgJSkAc@}DK}@Aw@LsVBeEBYrKg\`@wAzEiS\RPRH`@Ab@Ql@e@bA?ZFRJLf@N,2025-09-21T22:20:13Z
JND_at_North_Shore,E_Wash_at_Milwaukee,Willy_at_Ingersoll,5403,636s,598s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[KCQa@YUm@m@_EWs@cDsFk@y@E?aCwDxBcD]_AuTu]Wc@eCpD_O~Se@l@aQyXuBeDs@qAiFcImIuMmGyJcFsH{LeQeM}QyFsIs@y@uAgA,2025-09-21T22:20:13Z
JND_at_North_Shore,E_Wash_at_Milwaukee,E_Wash_at_First,5120,674s,540s,mozeGhdq`PFg@uAq@cBgAg@_@MSmB_BcCmC}@oAk@aAwG{IoImL{CyEmA}AaDoDcCuC]S[Kg@Bi@VMTAFwJjNOAi@POCSMgUi^{LyRsVq`@s@qAiFcImIuMoDwF{DcG{HaLeGuIeM}QyFsIs@y@uAgA,2025-09-21T22:20:13Z
Olbrich_boat_launch,JND_at_North_Shore,Willy_at_Ingersoll,6143,853s,833s,u`_fGr`g`Pg@OKMGS?[h@kALe@@c@Ia@QSm@]yF|UyK`]@vBCTQlYHlA`@lD~@nGn@jFnApJLt@lBvORbBDd@|OjLn@n@b@NxDtCrKnLd@l@jJ~N~DrG~D|GdCqD`ErGjOdV\~@yBbD`CzDt@tAp@`B`AbB`@v@Pp@z@xGb@Ij@Fd@XdE`FdCbD`E`GnPnUlDrEfCbD~AnAtChBrAr@,2025-09-21T22:20:13Z
